=== REPLAY DECISION TRACE LOG ===
Event Type Definitions:
- CROSS_UP: Price opens below/on and closes above the line
- CROSS_DOWN: Price opens above/on and closes below the line
- SUPPORT_TEST: Candle opens and closes above line, but low wick touches/pierces line
- RESISTANCE_TEST: Candle opens and closes below line, but high wick touches/pierces line
- BREACH_CONFIRMED: Price closes beyond max(BEC_close, ZEC_high) for UP, or below min(BEC_close, ZEC_low) for DOWN.
- BREACH_CONFIRMED_NO_ALPHA: Intra-bar multi-cross or next-target-hit. No tradeable alpha.
- SUPPORT_BOUNCE: Price bounces up by threshold % after a SUPPORT_TEST
- RESISTANCE_REJECTION: Price rejects down by threshold % after a RESISTANCE_TEST
- TARGET_HIT: First contact with an angle line in the target progression sequence. Only fires once per line; subsequent contacts are ignored.
=================================================

[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L190] Line 0.25 @ 24560.76 (Distance: 763.69)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L190] Line horizontal @ 24723.18 (Distance: 601.27)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L191] Line 0.875 @ 25234.63 (Distance: 89.82)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L191] Line 0.75 @ 25055.05 (Distance: 269.40)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L191] Line 0.5 @ 24822.27 (Distance: 502.18)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L191] Line 0.25 @ 24661.13 (Distance: 663.31)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L191] Line horizontal @ 24801.51 (Distance: 522.94)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L192] Line 0.875 @ 25242.74 (Distance: 81.70)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L192] Line 0.75 @ 25074.85 (Distance: 249.59)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L192] Line 0.5 @ 24870.53 (Distance: 453.92)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L192] Line 0.25 @ 24735.59 (Distance: 588.86)
[RETRO] [Bar 4018] [2025-09-19 09:15] [O:25424.65, H:25424.65, L:25297.45, C:25324.45]  -> [H195-L192] Line horizontal @ 24848.42 (Distance: 476.03)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [No Intersection Detected] -> No Event
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L190] Line 0.875 @ 25213.67 (Distance: 96.43)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L190] Line 0.75 @ 25011.77 (Distance: 298.33)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L190] Line 0.5 @ 24747.09 (Distance: 563.01)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L190] Line 0.25 @ 24562.33 (Distance: 747.77)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L190] Line horizontal @ 24723.18 (Distance: 586.92)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L191] Line 0.875 @ 25242.88 (Distance: 67.22)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L191] Line 0.75 @ 25061.22 (Distance: 248.88)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L191] Line 0.5 @ 24825.73 (Distance: 484.37)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L191] Line 0.25 @ 24662.72 (Distance: 647.38)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L191] Line horizontal @ 24801.51 (Distance: 508.59)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L192] Line 0.875 @ 25251.99 (Distance: 58.11)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L192] Line 0.75 @ 25081.59 (Distance: 228.51)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L192] Line 0.5 @ 24874.22 (Distance: 435.88)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L192] Line 0.25 @ 24737.26 (Distance: 572.84)
[RETRO] [Bar 4019] [2025-09-19 10:15] [O:25325.65, H:25345.25, L:25301.60, C:25310.10]  -> [H195-L192] Line horizontal @ 24848.42 (Distance: 461.68)
[RETRO] [Bar 4020] [2025-09-19 11:15] [O:25310.10, H:25328.30, L:25286.55, C:25305.00] [Pattern: SPINNING_TOP] -> [No Intersection Detected] -> No Event
[RETRO] [Bar 4020] [2025-09-19 11:15] [O:25310.10, H:25328.30, L:25286.55, C:25305.00] [Pattern: SPINNING_TOP] -> [H195-L190] Line 0.875 @ 25221.75 (Distance: 83.25)
[RETRO] [Bar 4020] [2025-09-19 11:15] [O:25310.10, H:25328.30, L:25286.55, C:25305.00] [Pattern: SPINNING_TOP] -> [H195-L190] Line 0.75 @ 25017.83 (Distance: 287.17)
[RETRO] [Bar 4020] [2025-09-19 11:15] [O:25310.10, H:25328.30, L:25286.55, C:25305.00] [Pattern: SPINNING_TOP] -> [H195-L190] Line 0.5 @ 24750.51 (Distance: 554.49)
[RETRO] [Bar 4020] [2025-09-19 11:15] [O:25310.10, H:25328.30, L:25286.55, C:25305.00] [Pattern: SPINNING_TOP] -> [H195-L190] Line 0.25 @ 24563.89 (Distance: 741.11)
[RETRO] [Bar 4020] [2025-09-19 11:15] [O:25310.10, H:25328.30, L:25286.55, C:25305.00] [Pattern: SPINNING_TOP] -> [H195-L190] Line horizontal @ 24723.18 (Distance: 581.82)
