[2026-04-19 00:53:52] O:24000.25 H:24013.50 L:23981.10 C:23982.30 -> no_pattern
[2026-04-19 00:53:52] O:23982.50 H:23987.55 L:23975.50 C:23978.65 -> no_pattern
[2026-04-19 00:53:53] O:23977.30 H:23982.10 L:23965.65 C:23968.30 -> no_pattern
[2026-04-19 00:53:53] O:23991.60 H:24014.00 L:23991.60 C:23995.45 -> shooting_star
[2026-04-19 00:53:53] O:23995.85 H:24013.05 L:23991.10 C:24000.30 -> spinning_top
[2026-04-19 00:53:53] O:24000.25 H:24013.50 L:23981.10 C:23982.30 -> no_pattern
[2026-04-19 00:53:53] O:23982.50 H:23987.55 L:23975.50 C:23978.65 -> no_pattern
[2026-04-19 00:53:53] O:23977.30 H:23982.10 L:23965.65 C:23968.30 -> no_pattern
[2026-04-19 00:53:53] O:23968.45 H:23981.10 L:23949.80 C:23950.35 -> no_pattern
[2026-04-19 00:53:54] O:23950.05 H:23980.25 L:23947.10 C:23979.20 -> no_pattern
[2026-04-19 00:53:54] O:23980.45 H:23998.60 L:23979.70 C:23993.00 -> no_pattern
[2026-04-19 00:53:55] O:23992.30 H:23994.15 L:23960.10 C:23962.10 -> no_pattern
[2026-04-19 00:53:55] O:23961.90 H:23963.35 L:23930.20 C:23948.70 -> no_pattern
[2026-04-19 00:53:56] O:23949.35 H:23951.45 L:23927.85 C:23935.20 -> no_pattern
[2026-04-19 00:53:57] O:23935.00 H:23947.45 L:23920.15 C:23944.00 -> no_pattern
[2026-04-19 00:53:57] O:23944.80 H:23968.30 L:23944.00 C:23959.65 -> no_pattern
[2026-04-19 00:53:58] O:23959.20 H:23971.20 L:23956.50 C:23967.15 -> no_pattern
[2026-04-19 00:53:58] O:23966.25 H:23969.60 L:23957.70 C:23963.30 -> spinning_top
[2026-04-19 00:53:59] O:23963.20 H:23967.35 L:23958.05 C:23964.55 -> spinning_top
[2026-04-19 00:53:59] O:23935.00 H:23947.45 L:23920.15 C:23944.00 -> no_pattern
[2026-04-19 00:53:59] O:23944.80 H:23968.30 L:23944.00 C:23959.65 -> no_pattern
[2026-04-19 00:53:59] O:23959.20 H:23971.20 L:23956.50 C:23967.15 -> no_pattern
[2026-04-19 00:53:59] O:23966.25 H:23969.60 L:23957.70 C:23963.30 -> spinning_top
[2026-04-19 00:53:59] O:23963.20 H:23967.35 L:23958.05 C:23964.55 -> spinning_top
[2026-04-19 00:53:59] O:23964.40 H:23967.65 L:23961.95 C:23966.85 -> no_pattern
[2026-04-19 00:54:00] O:23967.15 H:23973.95 L:23964.05 C:23967.50 -> doji
[2026-04-19 00:54:00] O:23967.65 H:23968.85 L:23939.45 C:23939.80 -> marubozu
[2026-04-19 00:54:01] O:23991.60 H:24014.00 L:23991.60 C:23995.45 -> shooting_star
[2026-04-19 00:54:01] O:23995.85 H:24013.05 L:23991.10 C:24000.30 -> spinning_top
[2026-04-19 00:54:01] O:24000.25 H:24013.50 L:23981.10 C:23982.30 -> no_pattern
[2026-04-19 00:54:01] O:23982.50 H:23987.55 L:23975.50 C:23978.65 -> no_pattern
[2026-04-19 00:54:01] O:23977.30 H:23982.10 L:23965.65 C:23968.30 -> no_pattern
[2026-04-19 00:54:01] O:23968.45 H:23981.10 L:23949.80 C:23950.35 -> no_pattern
[2026-04-19 00:54:01] O:23950.05 H:23980.25 L:23947.10 C:23979.20 -> no_pattern
[2026-04-19 00:54:01] O:23980.45 H:23998.60 L:23979.70 C:23993.00 -> no_pattern
[2026-04-19 00:54:01] O:23992.30 H:23994.15 L:23960.10 C:23962.10 -> no_pattern
[2026-04-19 00:54:01] O:23961.90 H:23963.35 L:23930.20 C:23948.70 -> no_pattern
[2026-04-19 00:54:01] O:23949.35 H:23951.45 L:23927.85 C:23935.20 -> no_pattern
[2026-04-19 00:54:01] O:23935.00 H:23947.45 L:23920.15 C:23944.00 -> no_pattern
[2026-04-19 00:54:01] O:23944.80 H:23968.30 L:23944.00 C:23959.65 -> no_pattern
[2026-04-19 00:54:01] O:23959.20 H:23971.20 L:23956.50 C:23967.15 -> no_pattern
[2026-04-19 00:54:01] O:23966.25 H:23969.60 L:23957.70 C:23963.30 -> spinning_top
[2026-04-19 00:54:01] O:23963.20 H:23967.35 L:23958.05 C:23964.55 -> spinning_top
[2026-04-19 00:54:01] O:23964.40 H:23967.65 L:23961.95 C:23966.85 -> no_pattern
[2026-04-19 00:54:01] O:23967.15 H:23973.95 L:23964.05 C:23967.50 -> doji
[2026-04-19 00:54:01] O:23967.65 H:23968.85 L:23939.45 C:23939.80 -> marubozu
[2026-04-19 00:54:01] O:23939.25 H:23940.45 L:23902.25 C:23917.10 -> no_pattern
[2026-04-19 00:54:02] O:23916.55 H:23934.00 L:23910.60 C:23912.95 -> shooting_star
[2026-04-19 00:54:02] O:23912.45 H:23929.45 L:23911.30 C:23927.50 -> no_pattern
[2026-04-19 00:54:03] O:23927.50 H:23950.55 L:23927.50 C:23939.45 -> no_pattern
[2026-04-19 00:54:03] O:23939.55 H:23958.85 L:23936.25 C:23955.90 -> no_pattern
[2026-04-19 00:54:04] O:23939.25 H:23940.45 L:23902.25 C:23917.10 -> no_pattern
[2026-04-19 00:54:04] O:23916.55 H:23934.00 L:23910.60 C:23912.95 -> shooting_star
[2026-04-19 00:54:04] O:23912.45 H:23929.45 L:23911.30 C:23927.50 -> no_pattern
[2026-04-19 00:54:04] O:23927.50 H:23950.55 L:23927.50 C:23939.45 -> no_pattern
[2026-04-19 00:54:04] O:23939.55 H:23958.85 L:23936.25 C:23955.90 -> no_pattern
[2026-04-19 00:54:04] O:23956.10 H:23957.10 L:23944.40 C:23953.10 -> pinbar
[2026-04-19 00:54:04] O:23991.60 H:24014.00 L:23991.60 C:23995.45 -> shooting_star
[2026-04-19 00:54:04] O:23995.85 H:24013.05 L:23991.10 C:24000.30 -> spinning_top
